work_year,experience_level,job_title,salary_in_usd,employment_type,company_location
2023,SE,Marketing Analyst,85590,FT,US
2025,MI,Marketing Analyst,58799,FT,US
2023,EN,Frontend Developer,70513,FT,US
2024,SE,Data Engineer,181014,FT,US
2023,MI,Data Analyst,75742,FT,US
2025,MI,Product Designer,88314,FT,US
2023,MI,Analytics Engineer,90533,FT,US
2023,SE,Backend Developer,157602,FT,US
2024,EN,Marketing Analyst,57667,FT,US
2025,EN,HR Analyst,40602,FT,US
2025,MI,Marketing Analyst,79329,FT,US
2024,MI,BI Analyst,71577,FT,US
2023,EN,Business Analyst,57516,FT,US
2024,SE,Software Engineer,178321,FT,US
2023,MI,ETL Developer,92535,FT,US
2025,SE,Sales Analyst,104617,FT,US
2023,EN,Full-Stack Developer,78461,FT,US
2025,MI,Marketing Analyst,67056,FT,US
2025,EN,Administrative Assistant,37958,FT,US
2024,MI,Data Analyst,87789,FT,US
2024,SE,HR Analyst,103741,FT,US
2023,EN,Data Analyst,48530,FT,US
2025,MI,Backend Developer,95538,FT,US
2025,MI,Data Analyst,89151,FT,US
2024,SE,Data Analyst,93911,FT,US
2024,EN,Marketing Analyst,53128,FT,US
2025,MI,Financial Analyst,68693,FT,US
2024,MI,Product Designer,92315,FT,US
2025,EN,UI/UX Designer,57367,FT,US
2025,SE,Frontend Developer,138259,FT,US
2023,MI,Data Engineer,101007,FT,US
2024,MI,Business Analyst,70990,FT,US
2023,MI,Administrative Assistant,42441,FT,US
2025,SE,Marketing Analyst,89067,FT,US
2025,SE,Full-Stack Developer,112389,FT,US
2024,MI,HR Analyst,70003,FT,US
2023,EN,Software Engineer,66783,FT,US
2024,EN,Product Designer,58060,FT,US
2023,MI,Marketing Analyst,64424,FT,US
2024,MI,Product Designer,109539,FT,US
2024,MI,UI/UX Designer,89567,FT,US
2024,MI,Data Engineer,107702,FT,US
2023,EN,Frontend Developer,63032,FT,US
2024,MI,Business Analyst,84233,FT,US
2023,SE,Administrative Assistant,78353,FT,US
2025,SE,Business Analyst,128054,FT,US
2025,EN,Frontend Developer,66821,FT,US
2025,EN,Marketing Analyst,52742,FT,US
2023,EN,Sales Analyst,44573,FT,US
2024,MI,Financial Analyst,82991,FT,US
2024,MI,ETL Developer,91067,FT,US
2023,EN,Data Analyst,60841,FT,US
2025,MI,HR Analyst,70209,FT,US
2024,MI,Data Analyst,62524,FT,US
2024,MI,Sales Analyst,54650,FT,US
2024,EX,Backend Developer,191849,FT,US
2023,SE,Data Engineer,163360,FT,US
2023,SE,Frontend Developer,119021,FT,US
2025,SE,ETL Developer,133541,FT,US
2025,SE,Backend Developer,151016,FT,US
2025,MI,BI Analyst,97707,FT,US
2024,MI,Sales Analyst,76018,FT,US
2023,MI,Data Analyst,74775,FT,US
2023,MI,ETL Developer,72875,FT,US
2024,EX,Product Designer,181787,FT,US
2023,MI,Business Analyst,64494,FT,US
2023,MI,Product Designer,94660,FT,US
2023,MI,Data Analyst,65084,FT,US
2024,SE,Financial Analyst,117762,FT,US
2025,EX,Analytics Engineer,162646,FT,US
2023,SE,Financial Analyst,119716,FT,US
2023,SE,HR Analyst,85885,FT,US
2023,SE,Financial Analyst,122745,FT,US
2023,EN,Full-Stack Developer,56145,FT,US
2024,EN,Data Analyst,50332,FT,US
2024,SE,Software Engineer,124901,FT,US
2025,MI,Data Engineer,117569,FT,US
2024,EN,Product Designer,72710,FT,US
2023,EN,Administrative Assistant,35311,FT,US
2024,EX,Software Engineer,216239,FT,US
2025,EN,Full-Stack Developer,67517,FT,US
2024,SE,Sales Analyst,113320,FT,US
2024,MI,Product Designer,89553,FT,US
