직무,경력,지역,회사규모,재택비율,연봉
백엔드 개발자,경력,서울,M,0,7877
백엔드 개발자,경력,서울,M,0,6345
데이터 분석가,경력,경기,M,0,4216
데이터 분석가,경력,서울,M,0,2958
데이터 분석가,신입,서울,M,0,4104
데이터 분석가,신입,서울,M,0,3575
데이터 분석가,경력,서울,M,100,6128
데이터 분석가,경력,서울,M,100,5107
데이터 엔지니어,경력,경기,M,100,11800
데이터 엔지니어,경력,경기,M,100,8046
데이터 엔지니어,경력,경기,M,100,11981
데이터 엔지니어,경력,경기,M,100,5288
데이터 엔지니어,경력,서울,M,100,9300
데이터 엔지니어,경력,인천,M,100,5572
백엔드 개발자,경력,부산,M,100,6658
백엔드 개발자,경력,서울,M,100,4481
백엔드 개발자,경력,경기,M,0,7483
백엔드 개발자,경력,경기,M,0,5637
데이터 분석가,경력,서울,M,0,15000
데이터 분석가,경력,경기,M,0,10997
백엔드 개발자,경력,서울,M,0,10940
백엔드 개발자,경력,서울,M,0,6564
백엔드 개발자,경력,서울,M,0,10897
백엔드 개발자,경력,서울,M,0,7571
백엔드 개발자,경력,서울,M,0,10949
백엔드 개발자,경력,서울,M,0,5129
백엔드 개발자,경력,부산,M,0,11635
백엔드 개발자,경력,서울,M,0,9522
백엔드 개발자,경력,경기,M,0,8680
백엔드 개발자,경력,서울,M,0,4301
데이터 분석가,경력,서울,M,100,12261
데이터 분석가,경력,서울,M,100,8171
데이터 엔지니어,경력,서울,M,0,13805
데이터 엔지니어,경력,인천,M,0,6539
데이터 엔지니어,경력,부산,M,0,4249
데이터 엔지니어,경력,부산,M,0,2703
백엔드 개발자,경력,서울,M,0,7736
백엔드 개발자,경력,부산,M,0,4384
데이터 분석가,신입,서울,M,0,2288
데이터 분석가,신입,서울,M,0,2002
데이터 분석가,경력,경기,M,0,14250
데이터 분석가,경력,대구,M,0,8449
데이터 분석가,신입,대전,M,0,4315
데이터 분석가,신입,서울,M,0,3878
데이터 분석가,경력,서울,M,0,13210
데이터 분석가,경력,서울,M,0,7899
백엔드 개발자,경력,대구,M,0,9995
백엔드 개발자,경력,대구,M,0,4854
데이터 분석가,경력,서울,M,0,9533
데이터 분석가,경력,서울,M,0,8171
데이터 엔지니어,경력,인천,M,0,11432
데이터 엔지니어,경력,서울,M,0,8647
데이터 엔지니어,경력,서울,M,0,7010
데이터 엔지니어,경력,서울,M,0,3437
데이터 분석가,경력,경기,M,100,14250
데이터 분석가,경력,대전,M,100,4730
데이터 분석가,경력,서울,M,0,14300
데이터 분석가,경력,경기,M,0,8085
데이터 분석가,경력,인천,M,0,11662
데이터 분석가,경력,경기,M,0,8393
데이터 분석가,신입,경기,M,0,1900
데이터 분석가,신입,서울,M,0,2000
백엔드 개발자,경력,울산,M,100,8756
백엔드 개발자,경력,서울,M,100,3501
백엔드 개발자,경력,서울,M,0,9702
백엔드 개발자,경력,서울,M,0,5706
백엔드 개발자,경력,광주,M,0,9671
백엔드 개발자,경력,경기,M,0,5404
데이터 분석가,경력,경기,M,100,8551
데이터 분석가,경력,서울,M,100,7892
데이터 분석가,경력,경기,M,0,9411
데이터 분석가,경력,서울,M,0,7892
데이터 엔지니어,경력,서울,M,0,11662
데이터 엔지니어,경력,경기,M,0,5965
데이터 엔지니어,경력,서울,M,0,12465
