직무,경력,지역,회사규모,재택비율,기술_개수,연봉
백엔드 개발자,경력,경기,M,0,5,6886
UI/UX 디자이너,신입,경기,L,0,1,5796
UI/UX 디자이너,경력,서울,S,50,3,5820
백엔드 개발자,경력,서울,M,50,4,7167
퍼포먼스 마케터,경력,서울,S,100,2,3673
데이터 분석가,경력,서울,S,50,4,8626
데이터 분석가,경력,서울,M,50,2,8514
고객상담 CS,경력,대전,L,50,3,2816
데이터 분석가,신입,서울,M,0,3,5937
고객상담 CS,경력,서울,S,0,1,2703
고객상담 CS,경력,서울,S,100,1,3717
UI/UX 디자이너,경력,경기,L,100,2,8876
데이터 분석가,경력,경기,M,50,4,8263
데이터 분석가,경력,경기,M,50,4,5773
데이터 분석가,경력,서울,M,0,2,7681
프론트엔드 개발자,경력,서울,M,50,5,7762
영업 지원,경력,경기,L,50,2,4433
퍼포먼스 마케터,경력,서울,M,100,1,5679
데이터 엔지니어,경력,부산,L,0,2,4923
일반사무,신입,서울,S,0,1,2228
백엔드 개발자,신입,서울,S,50,5,3474
데이터 분석가,경력,경기,S,0,2,7158
UI/UX 디자이너,경력,경기,M,50,3,5940
데이터 엔지니어,경력,서울,L,0,4,9990
데이터 분석가,경력,서울,S,0,4,8960
일반사무,경력,서울,S,100,3,3860
영업 지원,신입,서울,S,100,2,2428
고객상담 CS,경력,서울,L,100,1,4373
영업 지원,경력,서울,M,50,3,4799
영업 지원,경력,경기,M,0,1,4756
UI/UX 디자이너,신입,서울,M,50,1,3389
데이터 분석가,경력,서울,M,50,4,8901
UI/UX 디자이너,경력,서울,M,0,3,7613
백엔드 개발자,경력,경기,M,100,5,6873
일반사무,신입,서울,M,0,1,2157
고객상담 CS,경력,경기,M,100,3,3739
데이터 엔지니어,신입,서울,M,0,4,6922
프론트엔드 개발자,신입,경기,L,0,4,4288
데이터 엔지니어,경력,부산,S,50,3,4530
인사 총무,경력,대구,M,50,1,3850
데이터 분석가,신입,서울,S,100,5,4976
프론트엔드 개발자,신입,서울,M,0,3,3825
퍼포먼스 마케터,신입,서울,M,50,1,4551
백엔드 개발자,경력,서울,M,50,5,6758
일반사무,경력,경기,M,50,3,3257
데이터 엔지니어,신입,서울,M,50,2,3673
데이터 분석가,신입,서울,M,50,5,3824
프론트엔드 개발자,경력,서울,M,0,3,7394
백엔드 개발자,경력,서울,S,0,3,6001
경리 회계,경력,서울,M,50,2,5057
UI/UX 디자이너,경력,서울,M,50,1,8237
일반사무,경력,대전,L,100,3,3830
인사 총무,경력,경기,S,100,1,3961
고객상담 CS,경력,서울,S,0,2,3532
데이터 분석가,경력,서울,M,0,4,6443
