직무,경력,지역,연봉,기술,기술_개수
데이터 분석가,경력 3년차 이상,서울 구로구,6310,"[np.str_('SQL'), np.str_('Python'), np.str_('R')]",3
데이터 분석가,경력 8년차 이상,서울 구로구,9079,"[np.str_('SQL'), np.str_('Tableau')]",2
데이터 분석가,경력 8년차 이상,판교/분당,10026,"[np.str_('Excel'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Tableau')]",4
데이터 분석가,경력 3년차 이상,서울 구로구,5968,"[np.str_('R'), np.str_('Tableau')]",2
데이터 분석가,경력 3년차 이상,서울 성동구,6353,"[np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",2
데이터 분석가,경력 3년차 이상,서울 구로구,7429,"[np.str_('Machine Learning'), np.str_('SQL')]",2
데이터 분석가,신입,서울 성동구,4769,"[np.str_('SQL'), np.str_('Tableau'), np.str_('Excel'), np.str_('Python'), np.str_('R')]",5
데이터 분석가,경력 8년차 이상,서울 구로구,8786,"[np.str_('Excel'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('Machine Learning')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,10716,"[np.str_('SQL'), np.str_('R'), np.str_('Tableau'), np.str_('Excel'), np.str_('Machine Learning')]",5
데이터 분석가,경력 8년차 이상,서울 구로구,10297,"[np.str_('SQL'), np.str_('R'), np.str_('Machine Learning')]",3
데이터 분석가,신입,서울 구로구,5323,"[np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,10042,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Python'), np.str_('Excel'), np.str_('SQL')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,9893,"[np.str_('Python'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,7324,"[np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,경력 3년차 이상,서울 성동구,8275,"[np.str_('Machine Learning'), np.str_('Tableau'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,7627,"[np.str_('Python'), np.str_('Excel'), np.str_('Machine Learning'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,7691,"[np.str_('SQL'), np.str_('Python'), np.str_('Machine Learning')]",3
데이터 분석가,경력 3년차 이상,서울 성동구,8163,"[np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Python'), np.str_('R'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,7982,"[np.str_('Python'), np.str_('SQL')]",2
데이터 분석가,경력 3년차 이상,서울 마포구,7769,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('SQL'), np.str_('Tableau')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,10767,"[np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('Python')]",4
데이터 분석가,신입,서울 성동구,5708,"[np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('Tableau')]",3
데이터 분석가,경력 3년차 이상,서울 강남구,8677,"[np.str_('Python'), np.str_('Machine Learning'), np.str_('R'), np.str_('Excel'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,6583,"[np.str_('Machine Learning'), np.str_('SQL')]",2
데이터 분석가,경력 3년차 이상,서울 마포구,8594,"[np.str_('Cloud(AWS/GCP)'), np.str_('SQL'), np.str_('R'), np.str_('Excel')]",4
데이터 분석가,경력 8년차 이상,서울 성동구,8390,"[np.str_('Machine Learning'), np.str_('SQL')]",2
데이터 분석가,경력 3년차 이상,서울 구로구,7009,"[np.str_('Cloud(AWS/GCP)'), np.str_('Excel'), np.str_('R')]",3
데이터 분석가,경력 3년차 이상,서울 마포구,8191,"[np.str_('R'), np.str_('Cloud(AWS/GCP)'), np.str_('Tableau'), np.str_('Python'), np.str_('Machine Learning')]",5
데이터 분석가,경력 3년차 이상,판교/분당,8303,"[np.str_('Tableau'), np.str_('Python'), np.str_('Excel'), np.str_('R')]",4
데이터 분석가,신입,판교/분당,5831,"[np.str_('Excel'), np.str_('Tableau'), np.str_('R')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,10984,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,7248,"[np.str_('R'), np.str_('Machine Learning')]",2
데이터 분석가,신입,서울 마포구,5443,"[np.str_('Machine Learning'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",4
