직무,경력,지역,연봉,기술,기술_개수
데이터 분석가,경력 3년차 이상,서울 구로구,5102,"[np.str_('SQL'), np.str_('Python'), np.str_('R')]",3
데이터 분석가,경력 8년차 이상,서울 구로구,8305,"[np.str_('SQL'), np.str_('Tableau')]",2
데이터 분석가,경력 8년차 이상,판교/분당,8846,"[np.str_('Excel'), np.str_('SQL'), np.str_('Cloud(AWS/GCP)'), np.str_('Tableau')]",4
데이터 분석가,경력 3년차 이상,서울 구로구,4993,"[np.str_('R'), np.str_('Tableau')]",2
데이터 분석가,신입,서울 성동구,3115,"[np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",2
데이터 분석가,신입,서울 구로구,3414,"[np.str_('Machine Learning'), np.str_('SQL')]",2
데이터 분석가,신입,서울 성동구,3339,"[np.str_('SQL'), np.str_('Tableau'), np.str_('Excel'), np.str_('Python'), np.str_('R')]",5
데이터 분석가,경력 8년차 이상,서울 구로구,7976,"[np.str_('Excel'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('Machine Learning')]",5
데이터 분석가,경력 3년차 이상,서울 성동구,6294,"[np.str_('SQL'), np.str_('R'), np.str_('Tableau'), np.str_('Excel'), np.str_('Machine Learning')]",5
데이터 분석가,경력 8년차 이상,서울 구로구,9183,"[np.str_('SQL'), np.str_('R'), np.str_('Machine Learning')]",3
데이터 분석가,신입,서울 구로구,3556,"[np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",3
데이터 분석가,경력 8년차 이상,서울 마포구,8991,"[np.str_('Cloud(AWS/GCP)'), np.str_('R'), np.str_('Python'), np.str_('Excel'), np.str_('SQL')]",5
데이터 분석가,경력 8년차 이상,서울 성동구,8887,"[np.str_('Python'), np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Excel')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,5901,"[np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Cloud(AWS/GCP)')]",3
데이터 분석가,신입,서울 성동구,4129,"[np.str_('Machine Learning'), np.str_('Tableau'), np.str_('Python'), np.str_('Cloud(AWS/GCP)'), np.str_('SQL')]",5
데이터 분석가,신입,서울 강남구,4034,"[np.str_('Python'), np.str_('Excel'), np.str_('Machine Learning'), np.str_('R'), np.str_('Cloud(AWS/GCP)')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,6144,"[np.str_('SQL'), np.str_('Python'), np.str_('Machine Learning')]",3
데이터 분석가,경력 3년차 이상,서울 성동구,6420,"[np.str_('Tableau'), np.str_('Machine Learning'), np.str_('Python'), np.str_('R'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 강남구,6176,"[np.str_('Python'), np.str_('SQL')]",2
데이터 분석가,경력 3년차 이상,서울 마포구,6219,"[np.str_('Excel'), np.str_('Machine Learning'), np.str_('SQL'), np.str_('Tableau')]",4
데이터 분석가,경력 3년차 이상,서울 성동구,6337,"[np.str_('Tableau'), np.str_('Cloud(AWS/GCP)'), np.str_('Machine Learning'), np.str_('Python')]",4
데이터 분석가,신입,서울 성동구,3587,"[np.str_('Cloud(AWS/GCP)'), np.str_('Python'), np.str_('Tableau')]",3
데이터 분석가,경력 3년차 이상,서울 강남구,6692,"[np.str_('Python'), np.str_('Machine Learning'), np.str_('R'), np.str_('Excel'), np.str_('SQL')]",5
데이터 분석가,경력 3년차 이상,서울 구로구,5360,"[np.str_('Machine Learning'), np.str_('SQL')]",2
